,sample,IGSN,source,EXPEDITION ID,LATITUDE,LONGITUDE,LOC PREC,MIN ELEVATION,MAX ELEVATION,MIN AGE,AGE,MAX AGE,METHODS,ANALYZED MATERIAL,ROCK TYPE,sample_type,MINERAL,TECTONIC SETTING,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
9972,DSDP083-0504B-101R-001_105-111,,"BACH, 2003",DSDP083,1.2275,-83.7303,0.0001,-3460.0,-3460.0,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,OLD_OCEANIC_CRUST,0.95,3.41,0.67,4.26,2.04,0.85,3.33,0.66,4.52,1.02,2.97,0.42,2.57,0.41
9973,DSDP083-0504B-107R-001_104-111,,"BACH, 2003",DSDP083,1.2275,-83.7303,0.0001,-3460.0,-3460.0,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,OLD_OCEANIC_CRUST,1.05,3.57,0.71,4.39,2.1,0.84,3.18,0.65,4.49,1.01,2.94,0.42,2.56,0.4
9974,DSDP083-0504B-122R-001_076-085,,"BACH, 2003",DSDP083,1.2275,-83.7303,0.0001,-3460.0,-3460.0,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,OLD_OCEANIC_CRUST,1.22,4.31,0.83,5.1,2.35,0.79,3.71,0.75,5.22,1.17,3.37,0.49,3.11,0.48
9975,DSDP083-0504B-130R-002_069-082,,"BACH, 2003",DSDP083,1.2275,-83.7303,0.0001,-3460.0,-3460.0,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,OLD_OCEANIC_CRUST,1.05,3.41,0.63,3.79,1.72,0.75,2.76,0.55,3.81,0.86,2.44,0.35,2.24,0.34
9976,DSDP083-0504B-133R-002_034-042,,"BACH, 2003",DSDP083,1.2275,-83.7303,0.0001,-3460.0,-3460.0,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,DIABASE,,OLD_OCEANIC_CRUST,0.92,3.13,0.62,3.93,1.92,0.8,3.09,0.62,4.41,0.98,2.85,0.41,2.56,0.4
9977,DSDP083-0504B-134R-001_136-143,,"BACH, 2003",DSDP083,1.2275,-83.7303,0.0001,-3460.0,-3460.0,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,OLD_OCEANIC_CRUST,0.5,1.69,0.33,2.02,1.0,0.37,1.72,0.35,2.45,0.56,1.63,0.24,1.44,0.23
9978,DSDP083-0504B-141R-001_050-057,,"BACH, 2003",DSDP083,1.2275,-83.7303,0.0001,-3460.0,-3460.0,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,OLD_OCEANIC_CRUST,0.92,2.79,0.53,3.21,1.46,0.67,2.22,0.44,3.12,0.7,2.06,0.29,1.82,0.28
9979,DSDP084-001,,"HAUFF, 2000",DSDP084,5.7487,-82.882,0.0001,,,,20.0,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,CONVERGENT_MARGIN,2.06,7.07,1.29,7.2,2.6,1.0,3.62,0.66,4.53,0.99,2.84,0.44,2.87,0.43
9980,DSDP092-0597C-000-001_077-079,,"ERZINGER, 1985",DSDP092,-18.8072,-129.77,0.0001,-4164.0,-4164.0,,,,ICPAES,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,OLD_OCEANIC_CRUST,4.02,11.9,2.16,9.84,4.12,1.24,4.48,0.8,6.06,1.06,3.68,0.48,3.38,0.48
9983,DSDP092-0597C-000-003_052-054,,"ERZINGER, 1985",DSDP092,-18.8072,-129.77,0.0001,-4164.0,-4164.0,,,,ICPAES,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,OLD_OCEANIC_CRUST,3.16,8.82,1.78,7.08,2.76,0.9,3.16,0.52,4.32,0.74,2.58,0.32,2.34,0.32
9986,DSDP092-0597C-000-006_049-051,,"ERZINGER, 1985",DSDP092,-18.8072,-129.77,0.0001,-4164.0,-4164.0,,,,ICPAES,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,OLD_OCEANIC_CRUST,2.06,6.34,1.12,5.3,2.0,0.7,2.66,0.46,3.3,0.58,2.02,0.28,2.0,0.3
9989,DSDP092-0597C-005-002_029-031,,"ERZINGER, 1985",DSDP092,-18.8072,-129.77,0.0001,-4164.0,-4164.0,,,,ICPAES,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,OLD_OCEANIC_CRUST,2.4,7.08,1.36,6.32,2.3,0.82,2.58,0.42,3.92,0.68,2.58,0.36,2.44,0.36
9990,DSDP092-0597C-006-004_059-060,,"ERZINGER, 1985",DSDP092,-18.8072,-129.77,0.0001,-4164.0,-4164.0,,,,ICPAES,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,OLD_OCEANIC_CRUST,2.36,7.12,1.48,6.18,2.4,0.84,2.52,0.42,4.0,0.66,2.5,0.36,2.52,0.38
9991,DSDP092-0597C-006-005_080-082,,"ERZINGER, 1985",DSDP092,-18.8072,-129.77,0.0001,-4164.0,-4164.0,,,,ICPAES,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,OLD_OCEANIC_CRUST,2.28,6.68,1.48,6.1,2.26,0.8,3.52,0.56,3.86,0.66,2.5,0.3,2.42,0.36
9995,DSDP092-0597C-009-001_014-016,,"ERZINGER, 1985",DSDP092,-18.8072,-129.77,0.0001,-4164.0,-4164.0,,,,ICPAES,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,OLD_OCEANIC_CRUST,3.16,9.24,2.1,8.6,3.0,1.06,4.36,0.72,5.02,0.82,3.0,0.36,2.46,0.34
9997,DSDP092-0601B-002-001_078-081,,"ERZINGER, 1985",DSDP092,-18.9203,-116.868,0.0001,-3448.0,-3448.0,,,,ICPAES,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,OLD_OCEANIC_CRUST,5.2,18.0,3.6,18.4,7.34,2.18,8.82,1.52,10.7,1.78,6.64,0.98,6.3,0.96
9998,DST0041-003-A,,"KELLEY, 2013; SCHILLING, 1982",DST0041,1.04,-85.42,0.01,-1554.0,-1554.0,,,,HR-ICP-MS; INAA,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,1.4,5.49,1.09,6.43,2.66,1.0,3.92,0.75,4.89,1.11,3.26,0.56,3.08,0.475
9999,DST0041-005-555,,"AREVALO JR, 2008",DST0041,2.44,-95.62,0.01,-2469.0,-2750.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,2.0,5.2,1.02,6.44,2.49,0.89,3.54,0.63,4.63,1.01,3.09,0.44,3.08,0.45
10000,DST0041-005-556,,"REEKIE, 2019",DST0041,2.44,-95.62,0.01,-2469.0,-2750.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,1.68,5.74,0.92,5.62,2.06,0.74,2.77,0.49,3.31,0.74,2.18,0.32,2.38,0.33
10001,DST0041-005-557,,"REEKIE, 2019",DST0041,2.44,-95.62,0.01,-2469.0,-2750.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,2.4,7.12,1.17,6.56,2.27,0.86,3.09,0.55,3.77,0.81,2.38,0.33,2.36,0.35
10002,DST0041-005-558,,"REEKIE, 2019",DST0041,2.44,-95.62,0.01,-2469.0,-2750.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,1.82,5.87,1.02,5.82,2.09,0.82,2.85,0.52,3.7,0.82,2.47,0.34,2.45,0.36
10003,DST0041-005-559,,"REEKIE, 2019",DST0041,2.44,-95.62,0.01,-2469.0,-2750.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,2.24,6.83,1.12,6.15,2.12,0.8,2.76,0.51,3.42,0.74,2.15,0.3,2.19,0.31
10004,DST0041-005-VG1311,,"REEKIE, 2019",DST0041,2.44,-95.62,0.01,-2469.0,-2750.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,1.76,5.82,1.0,5.67,2.05,0.81,2.8,0.51,3.57,0.79,2.33,0.33,2.38,0.34
10005,DST0041-008-010,,"REEKIE, 2019",DST0041,2.6,-95.33,0.01,-3136.0,-3136.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.56,12.37,1.96,10.57,3.61,1.25,4.91,0.87,6.07,1.33,3.95,0.57,3.99,0.56
10006,DST0041-008-011,,"REEKIE, 2019",DST0041,2.6,-95.33,0.01,-3136.0,-3136.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.59,12.46,1.94,10.69,3.69,1.26,4.91,0.88,6.17,1.31,3.98,0.55,3.99,0.58
10015,DUF0023-001,,"CHAUVEL, 2001",DUF0023,-21.53,69.112,0.001,-3200.0,-3300.0,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,3.37,11.1,1.92,10.6,3.7,1.35,5.38,0.947,6.6,1.42,3.89,0.574,3.74,0.586
10016,DUF0023-002,,"CHAUVEL, 2001",DUF0023,-26.521,71.925,0.01,-3640.0,-3780.0,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,2.61,8.04,1.35,7.34,2.54,1.03,3.74,0.663,4.65,1.0,2.78,0.407,2.59,0.405
10017,DUF0023-003-001,,"AREVALO JR, 2008",DUF0023,-25.385,70.064,0.001,-2625.0,-3950.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,0.92,3.12,0.7,4.83,2.0,0.79,2.89,0.53,3.79,0.82,2.45,0.34,2.34,0.33
10018,DUF0023-004,,"ISRAEL, 2019",DUF0023,-25.864,70.323,0.001,-4000.0,-4300.0,,,,ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,3.58,12.4,2.09,11.27,3.48,1.26,4.48,0.74,4.99,1.0,3.01,0.42,2.77,0.4
10019,DUF0023-004,,"CHAUVEL, 2001",DUF0023,-25.864,70.323,0.001,-4000.0,-4300.0,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,3.82,12.9,2.16,11.2,3.37,1.29,4.38,0.751,5.07,1.06,2.95,0.427,2.75,0.434
10020,DUF0034-003,,"ISRAEL, 2019",DUF0034,-37.71,49.882,0.001,-3260.0,-3260.0,,,,ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,1.89,6.37,1.19,7.14,2.81,1.03,4.25,0.81,5.62,1.19,3.66,0.51,3.45,0.51
10021,DUF0034-004,,"ISRAEL, 2019",DUF0034,-40.98,43.7,0.001,-3700.0,-3700.0,,,,ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,5.49,14.74,2.32,12.8,4.3,1.49,5.91,1.03,7.02,1.46,4.49,0.62,4.17,0.6
10022,DUF0034-004,,"CHAUVEL, 2001",DUF0034,-40.98,43.7,0.001,-3700.0,-3700.0,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.75,13.4,2.11,11.2,3.71,1.41,5.3,0.934,6.52,1.39,3.85,0.563,3.62,0.565
10023,DUF0034-005,,"JANNEY, 2005",DUF0034,-43.893,40.653,0.001,-2550.0,-2550.0,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,3.31,7.83,1.17,5.81,1.92,0.87,2.41,0.41,2.51,0.53,1.44,0.2,1.25,0.18
10024,DUF0034-005,,"AREVALO JR, 2008",DUF0034,-43.893,40.653,0.001,-2550.0,-2550.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,3.53,7.16,1.15,6.26,2.07,0.93,2.48,0.4,2.72,0.54,1.54,0.21,1.4,0.2
10025,DUF0034-006,,"JANNEY, 2005; LIANG, 2017",DUF0034,-44.18,38.795,0.001,-2190.0,-2190.0,,,,ICPMS; LA-ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,8.6,20.8,3.1,13.0,4.01,1.37,5.24,0.91,6.04,1.26,3.64,0.55,4.4,0.52
10026,DUF0034-006,,"ISRAEL, 2019",DUF0034,-44.18,38.795,0.001,-2190.0,-2190.0,,,,ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,8.85,21.52,3.17,16.04,4.89,1.65,6.5,1.1,7.56,1.56,4.74,0.66,4.36,0.64
10027,DUF0034-007,,"JANNEY, 2005",DUF0034,-44.807,36.302,0.001,-1500.0,-1500.0,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,9.94,22.5,3.09,14.2,4.06,1.46,5.04,0.86,5.56,1.14,3.19,0.48,2.97,0.45
10028,DUF0037-007-004-D1,,"CHAUVEL, 2001",DUF0037,-32.665,77.596,0.001,-2700.0,-2700.0,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,3.74,10.5,1.6,8.18,2.57,1.05,3.57,0.618,4.3,0.918,2.55,0.365,2.37,0.374
10029,DUF0037-006-002,,"AREVALO JR, 2008",DUF0037,-38.978,78.138,0.001,-2320.0,-2320.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,6.67,13.72,2.08,10.79,3.19,1.14,3.88,0.64,4.52,0.91,2.65,0.38,2.63,0.36
10030,DUF0037-006-002,,"CHAUVEL, 2001",DUF0037,-38.978,78.138,0.001,-2320.0,-2320.0,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,6.63,16.2,2.22,10.7,3.12,1.2,3.88,0.646,4.28,0.885,2.41,0.342,2.22,0.346
10031,DUF0037-006-003,,"CHAUVEL, 2001",DUF0037,-38.957,78.158,0.001,-2020.0,-2020.0,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,7.94,19.1,2.64,12.7,3.63,1.36,4.44,0.718,4.72,0.944,2.56,0.362,2.33,0.364
10032,DUF0037-007-001,,"CHAUVEL, 2001",DUF0037,-34.383,78.023,0.001,-3080.0,-3080.0,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,6.08,14.7,2.05,9.84,2.94,1.11,3.97,0.694,4.86,1.02,2.84,0.415,2.77,0.436
10033,DUF0107-007-002-005,,"PAQUET, 2016",DUF0107,-27.36,66.64,0.01,-3850.0,-3850.0,,,,LA-ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,3.87,11.33,1.84,10.08,2.93,1.17,3.52,0.65,3.96,0.85,2.6,0.4,2.51,0.39
10034,DUF0107-008,,"PAQUET, 2016",DUF0107,-27.34,66.34,0.01,-4550.0,-4550.0,,,,LA-ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,6.61,18.19,2.74,14.49,3.3,1.36,4.61,0.79,5.29,1.13,3.12,0.46,2.82,0.46
10035,DUF0107-008-001-002,,"PAQUET, 2016",DUF0107,-27.34,66.34,0.01,-4550.0,-4550.0,,,,LA-ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,5.94,17.06,2.66,12.4,3.62,1.29,4.3,0.7,4.76,0.99,2.65,0.4,2.75,0.41
10036,DUF0107-010-001-004,,"PAQUET, 2016",DUF0107,-27.57,65.98,0.01,-4320.0,-4320.0,,,,LA-ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,5.2,13.9,2.16,10.66,2.93,1.17,3.4,0.67,3.94,0.91,2.65,0.38,2.42,0.38
10037,DUF0107-011-001-001,,"PAQUET, 2016",DUF0107,-27.63,65.53,0.01,-3500.0,-3500.0,,,,LA-ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.69,12.8,1.83,9.15,2.84,1.07,3.7,0.63,3.84,0.77,2.09,0.31,1.95,0.29
10038,DUF0107-011-002-007,,"PAQUET, 2016",DUF0107,-27.63,65.53,0.01,-3500.0,-3500.0,,,,LA-ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.7,12.5,1.82,9.24,2.89,1.05,3.84,0.67,4.06,0.84,2.32,0.34,2.16,0.32
10039,DUF0107-011-002-010,,"PAQUET, 2016",DUF0107,-27.63,65.53,0.01,-3500.0,-3500.0,,,,LA-ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,6.12,17.8,2.57,12.6,3.63,1.31,4.73,0.85,5.28,1.11,3.18,0.48,3.16,0.47
10040,DUF0107-013-003-009,,"PAQUET, 2016",DUF0107,-27.78,65.42,0.01,-5175.0,-5175.0,,,,LA-ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,8.14,21.3,3.14,13.93,3.97,1.6,4.96,0.92,5.46,1.32,3.36,0.51,3.3,0.5
10041,DUF0107-012-001-002,,"PAQUET, 2016",DUF0107,-27.74,65.35,0.01,-5375.0,-5375.0,,,,LA-ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,5.1,13.37,2.0,11.1,2.85,1.31,3.96,0.79,4.59,1.05,3.3,0.48,2.89,0.51
10042,DUF0107-012-002,,"PAQUET, 2016",DUF0107,-27.74,65.35,0.01,-5375.0,-5375.0,,,,LA-ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,5.46,15.67,2.58,12.61,3.72,1.26,4.7,0.8,5.08,1.0,3.15,0.48,3.1,0.47
10043,DUF0107-012-002-002,,"PAQUET, 2016",DUF0107,-27.74,65.35,0.01,-5375.0,-5375.0,,,,LA-ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.33,12.87,1.87,10.83,2.77,1.05,3.74,0.69,4.43,0.98,2.91,0.45,2.99,0.45
10044,DUF0107-012-003-001,,"PAQUET, 2016",DUF0107,-27.74,65.35,0.01,-5375.0,-5375.0,,,,LA-ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.38,12.73,1.88,9.38,2.79,1.06,3.96,0.73,4.81,1.04,3.07,0.48,3.13,0.47
10045,DUF0107-012-003-002,,"PAQUET, 2016",DUF0107,-27.74,65.35,0.01,-5375.0,-5375.0,,,,LA-ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.34,12.93,1.88,10.32,2.79,1.07,3.71,0.75,4.49,0.99,2.89,0.45,3.02,0.44
10046,DUF0107-013,,"PAQUET, 2016",DUF0107,-27.78,65.42,0.01,-5175.0,-5175.0,,,,LA-ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,7.75,20.06,2.88,15.18,3.65,1.44,4.7,0.82,5.13,1.13,3.32,0.5,3.08,0.48
10047,DUF0107-013-003-002,,"PAQUET, 2016",DUF0107,-27.78,65.42,0.01,-5175.0,-5175.0,,,,LA-ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,7.18,20.0,2.81,13.57,3.84,1.37,4.93,0.88,5.48,1.14,3.28,0.49,3.15,0.47
10048,DUF0107-016,,"PAQUET, 2016",DUF0107,-27.85,63.91,0.01,-2800.0,-2800.0,,,,LA-ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.79,14.29,2.2,11.59,3.21,1.11,3.36,0.64,4.1,0.9,2.48,0.39,2.49,0.37
10049,DUF0107-016-001-001,,"PAQUET, 2016",DUF0107,-27.85,63.91,0.01,-2800.0,-2800.0,,,,LA-ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.72,13.83,2.03,10.23,2.98,1.14,4.05,0.73,4.59,0.97,2.8,0.43,2.73,0.41
10050,DUF0107-016-002-001,,"PAQUET, 2016",DUF0107,-27.85,63.91,0.01,-2800.0,-2800.0,,,,LA-ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.71,13.86,2.27,11.97,3.86,1.48,5.18,0.86,6.01,1.24,3.41,0.55,3.47,0.53
10051,DUF0107-016-003-001,,"PAQUET, 2016",DUF0107,-27.85,63.91,0.01,-2800.0,-2800.0,,,,LA-ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,5.55,16.4,2.33,11.5,3.27,1.19,4.36,0.76,4.82,1.03,2.96,0.45,2.94,0.43
10052,DUF0107-019-001-003,,"PAQUET, 2016",DUF0107,-27.86,63.75,0.01,-4475.0,-4475.0,,,,LA-ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,5.1,13.52,2.34,10.39,3.03,1.11,3.91,0.68,4.26,0.98,2.53,0.39,2.42,0.43
10053,DUF0107-020-001-001,,"PAQUET, 2016",DUF0107,-27.98,63.66,0.01,-4950.0,-4950.0,,,,LA-ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,1.82,5.95,1.02,5.7,1.9,0.82,2.93,0.54,3.81,0.89,2.62,0.41,2.85,0.44
10054,DUF0107-020-002-001,,"PAQUET, 2016",DUF0107,-27.98,63.66,0.01,-4950.0,-4950.0,,,,LA-ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,1.94,6.61,1.17,6.27,2.18,0.89,2.99,0.55,3.8,0.92,2.63,0.44,2.96,0.45
10055,DUF0107-022-002-001,,"PAQUET, 2016",DUF0107,-28.11,63.36,0.01,-4950.0,-4950.0,,,,LA-ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,2.22,6.84,1.05,5.55,1.92,0.82,3.14,0.64,4.59,1.05,3.19,0.51,3.48,0.53
10056,DUF0107-026,,"PAQUET, 2016",DUF0107,-28.8,61.93,0.01,-4600.0,-4600.0,,,,LA-ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,2.7,8.39,1.49,8.36,2.23,1.03,3.83,0.66,4.39,1.01,2.79,0.49,2.91,0.48
10057,DUF0107-026-001-002,,"PAQUET, 2016",DUF0107,-28.8,61.93,0.01,-4600.0,-4600.0,,,,LA-ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,1.72,6.02,1.02,5.67,1.98,0.84,3.06,0.58,3.91,0.87,2.6,0.41,2.67,0.41
10058,DUF0107-028-002-005,,"PAQUET, 2016",DUF0107,-28.95,61.44,0.01,-2750.0,-2750.0,,,,LA-ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,6.24,17.01,2.6,13.52,3.44,1.34,5.3,0.85,5.37,1.14,3.32,0.49,3.15,0.48
10059,DUF0107-029-001-001,,"PAQUET, 2016",DUF0107,-28.95,61.32,0.01,-3550.0,-3550.0,,,,LA-ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,6.5,17.1,2.5,12.1,3.4,1.3,4.5,0.7,4.4,1.0,2.7,0.4,2.7,0.4
10060,DUF0107-029-001-002,,"PAQUET, 2016",DUF0107,-28.95,61.32,0.01,-3550.0,-3550.0,,,,LA-ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,5.95,16.47,2.64,12.12,3.22,1.39,4.14,0.74,4.55,0.93,2.67,0.42,2.65,0.41
10061,DUF0107-029-003-002,,"PAQUET, 2016",DUF0107,-28.95,61.32,0.01,-3550.0,-3550.0,,,,LA-ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,5.58,15.51,2.34,10.97,3.01,1.19,3.74,0.65,4.03,0.84,2.43,0.38,2.46,0.36
10062,DUF0107-029-003-003,,"PAQUET, 2016",DUF0107,-28.95,61.32,0.01,-3550.0,-3550.0,,,,LA-ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,5.39,15.4,2.42,11.61,3.19,1.25,3.94,0.67,4.25,0.88,2.45,0.4,2.47,0.39
10063,DUF183-016-003-004,,"PAQUET, 2016",DUF0183,-28.54,62.36,0.01,-3850.0,-3850.0,,,,LA-ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.9,14.83,2.14,10.57,3.0,1.14,3.94,0.7,4.46,0.94,2.69,0.4,2.58,0.39
10064,DUF183-016-003-005,,"PAQUET, 2016",DUF0183,-28.54,62.36,0.01,-3850.0,-3850.0,,,,LA-ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.82,14.83,2.13,10.33,2.89,1.11,3.68,0.67,4.19,0.89,2.53,0.38,2.43,0.37
10065,DUF183-016-003-007,,"PAQUET, 2016",DUF0183,-28.54,62.36,0.01,-3850.0,-3850.0,,,,LA-ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.92,14.9,2.16,10.73,3.02,1.14,3.97,0.69,4.43,0.92,2.71,0.41,2.6,0.39
10066,DUF183-016-003-009,,"PAQUET, 2016",DUF0183,-28.54,62.36,0.01,-3850.0,-3850.0,,,,LA-ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.91,14.73,2.15,10.63,3.04,1.16,3.98,0.72,4.43,0.94,2.65,0.42,2.57,0.4
10067,DUF183-016-003-014,,"PAQUET, 2016",DUF0183,-28.54,62.36,0.01,-3850.0,-3850.0,,,,LA-ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,5.05,15.43,2.23,10.93,3.1,1.17,3.94,0.72,4.48,0.93,2.68,0.41,2.63,0.39
10068,DUF183-019-004-001,,"PAQUET, 2016",DUF0183,-27.51,64.06,0.01,-2650.0,-2650.0,,,,LA-ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.06,12.63,1.92,9.67,2.96,1.11,3.84,0.71,4.54,0.98,2.81,0.42,2.68,0.41
